Countries and territories,Country Code,% 0-14,% 15-64,% 65 and above,Population total,% Male,% Female,Current health expenditure (% of GDP)
Afghanistan,AFG,43.09017551,54.32489755,2.58492694,37172386,51.3641533,48.6358467,10.19867734
Albania,ALB,17.67287372,68.58239036,13.74473591,2866376,50.9369054,49.0630946,6.69789475
Algeria,DZA,30.14867859,63.48882487,6.362496545,42228429,50.51573212,49.48426788,6.648475
American Samoa,ASM,,,,55465,,,
Andorra,AND,,,,77006,,,10.36772767
Angola,AGO,46.80892471,50.97470164,2.216373648,30809762,49.46953707,50.53046293,2.87782524
Antigua_and_Barbuda,ATG,22.08109175,69.11908273,8.79982552,96286,48.21150371,51.78849629,4.30900835
Arab World,ARB,32.78043618,62.6616874,4.557876424,419790588,51.80967177,48.19032823,4.887915232
Argentina,ARG,24.76093384,64.12127729,11.11778888,44494502,48.76265155,51.23734845,7.54838404
Armenia,ARM,20.63342192,68.11276042,11.25381766,2951776,47.04342285,52.95657715,9.92732109
Aruba,ABW,17.80244697,68.64660589,13.55094714,105845,47.46896434,52.53103566,
Australia,AUS,19.19061704,65.15290773,15.65647523,24992369,49.80037676,50.19962324,9.25209201
Austria,AUT,14.29794763,66.70048591,19.00156646,8847037,49.17057335,50.82942665,10.43762567
Azerbaijan,AZE,23.36956986,70.43524739,6.195182751,9942334,49.8842509,50.1157491,6.89059972
Bahamas,BHS,22.48487567,70.25752197,7.257602357,385640,48.57494781,51.42505219,6.37542177
Bahrain,BHR,19.25431012,78.319356,2.426333878,1569439,63.65174839,36.34825161,4.86947429
Bangladesh,BGD,27.70602248,67.13558688,5.15839064,161356039,50.61270333,49.38729667,2.36505997
Barbados,BRB,17.34294815,66.85435789,15.80269396,286641,48.32716997,51.67283003,6.96244846
Belarus,BLR,16.86594305,68.28890878,14.84514817,9485386,46.54394578,53.45605422,6.31679395
Belgium,BEL,17.05542276,64.1558335,18.78874374,11422068,49.40668061,50.59331939,10.03841793
Belize,BLZ,30.27976537,64.98377585,4.736458777,383071,49.80747694,50.19252306,6.12137415
Benin,BEN,42.44768239,54.29871231,3.253605297,11485048,49.9017983,50.0982017,3.85561779
Bermuda,BMU,,,,63968,,,
Bhutan,BTN,25.77135373,68.22563455,6.003011713,754394,52.99736478,47.00263522,3.45418055
Bolivia,BOL,31.07354775,61.73450486,7.191947392,11353142,50.21660087,49.78339913,6.86056405
Bosnia_and_Herzegovina,BIH,14.76621765,68.76346488,16.47031747,3323929,48.98946397,51.01053603,9.22955617
Botswana,BWA,34.11294602,61.66317964,4.223874346,2254126,48.26923956,51.73076044,5.46320154
Brazil,BRA,21.33407191,69.74309026,8.922837832,209469333,49.17008324,50.82991676,11.77150303
British Virgin Islands,VGB,,,,29802,,,
Brunei_Darussalam,BRN,23.02646149,72.10039094,4.873147568,428962,51.96381947,48.03618053,2.3409551
Bulgaria,BGR,14.59546532,64.38262025,21.02191443,7024216,48.58591159,51.41408841,8.23011604
Burkina_Faso,BFA,44.94808132,52.64493785,2.406980829,19751535,49.90451848,50.09548152,6.75254452
Burundi,BDI,45.50168075,52.25137879,2.24694046,11175378,49.57800536,50.42199464,6.19156298
Cape_Verde,CPV,28.77776695,66.6129059,4.609327157,543767,50.18096086,49.81903914,5.23696219
Cambodia,KHM,31.20141476,64.22990522,4.568680018,16249798,48.80201873,51.19798127,6.08196009
Cameroon,CMR,42.63157984,54.6395428,2.728877355,25216237,49.99651217,50.00348783,4.6902491
Canada,CAN,15.87025087,66.89774245,17.23200668,37058856,49.60847005,50.39152995,10.53465477
Caribbean small states,CSS,23.71292425,67.490417,8.796658749,7358965,49.61474605,50.38525395,6.128926495
Cayman_Islands,CYM,,,,64174,,,
Central_African_Republic,CAF,44.29432055,52.87990574,2.825773707,4666377,49.56352629,50.43647371,4.28252151
Central Europe and the Baltics,CEB,15.13564214,66.40423937,18.4601185,102511922,48.39978891,51.60021109,6.67777417
Chad,TCD,47.12629999,50.39318107,2.480518944,15477751,49.91510058,50.08489942,4.5381013
Channel Islands,CHI,15.18835888,67.51417897,17.29746216,170499,49.47095533,50.52904467,
Chile,CHL,19.75390247,68.71629587,11.52980166,18729160,49.27296816,50.72703184,8.52893972
China,CHN,17.87700275,71.20211371,10.92088354,1392730000,51.32062604,48.67937396,4.98188075
Colombia,COL,23.07789598,68.444057,8.47804702,49648685,49.0742283,50.9257717,5.91234407
Comoros,COM,39.53842383,57.45456686,3.007009306,832322,50.44129556,49.55870444,7.63108978
democratic_republic_of_the_congo,COD,46.16564209,50.81651729,3.017840622,84068091,49.90225661,50.09774339,3.87116143
Congo,COG,41.76350246,55.554778,2.681719539,5244363,49.93439623,50.06560377,4.63481785
Costa_Rica,CRI,21.32474411,69.12540822,9.549847673,4999441,49.9901489,50.0098511,7.55572353
cote_divoire,CIV,41.93697214,55.20408485,2.858943015,25069229,50.48088042,49.51911958,4.40362075
Croatia,HRV,14.51194001,65.04262698,20.44543301,4089400,48.14737825,51.85262175,7.18008037
Cuba,CUB,16.21123899,68.60254959,15.18621142,11338138,49.66715017,50.33284983,12.19122021
Curacao,CUW,18.88394613,64.43115906,16.68489481,159849,45.90453018,54.09546982,
Cyprus,CYP,16.78784796,69.49309027,13.71906177,1189265,50.0289255,49.9710745,6.87966475
czech_republic,CZE,15.58660552,64.99251759,19.42087689,10625695,49.19141107,50.80858893,7.14959908
Denmark,DNK,16.45826256,63.7287848,19.81295264,5797446,49.72579727,50.27420273,10.35004017
Djibouti,DJI,29.57411596,65.89830466,4.527579378,958920,52.63321455,47.36678545,3.50192451
Dominica,DMA,,,,71625,,,5.30393975
dominican_republic,DOM,27.9771295,64.94005302,7.082817476,10627165,49.99220393,50.00779607,6.16130052
Early-demographic dividend,EAR,28.89757075,65.28462357,5.817805684,3249140605,50.92793301,49.07206699,4.990122295
East Asia & Pacific,EAS,19.76754704,69.48809496,10.744358,2328220870,50.68864623,49.31135377,6.639368197
East Asia & Pacific (excluding high income),EAP,20.49881239,70.00494974,9.496237874,2081651801,50.85315451,49.14684549,4.777763009
East Asia & Pacific (IDA & IBRD countries),TEA,20.50249951,69.99925292,9.498247565,2056064424,50.8773503,49.1226497,4.777917351
Ecuador,ECU,28.028592,64.81411827,7.157289727,17084357,50.02937482,49.97062518,8.38714107
egypt,EGY,33.79872071,60.97149994,5.229779346,98423595,50.53002836,49.46997164,4.63781726
el_salvador,SLV,27.13208091,64.58082908,8.287090005,6420744,46.88599756,53.11400244,6.95775683
equatorial_guinea,GNQ,37.11659887,60.42552379,2.457877347,1308974,55.54414706,44.45585294,3.37653274
Eritrea,ERI,,,,,,,2.95931347
Estonia,EST,16.35707375,64.01656941,19.62635685,1320884,47.14157318,52.85842682,6.68368438
Eswatini,SWZ,38.11249154,57.87292052,4.014587941,1136191,48.85106937,51.14893063,7.69694547
Ethiopia,ETH,40.78298191,55.7158851,3.501132998,109224559,50.02111158,49.97888842,3.97401588
Euro area,EMU,15.06811691,64.3315955,20.60028759,341783171,48.89651569,51.10348431,10.217269
Europe & Central Asia,ECS,18.01505685,65.63605255,16.3488906,918793590,48.46411769,51.53588231,9.377728932
Europe & Central Asia (excluding high income),ECA,21.03908655,66.91393605,12.0469774,417797257,47.86512198,52.13487802,5.213777011
Europe & Central Asia (IDA & IBRD countries),TEC,20.48438915,66.94001194,12.57559892,459865205,47.91773931,52.08226069,5.419749964
European Union,EUU,15.47570079,64.58977752,19.93452168,513213363,48.91937088,51.08062912,9.929343946
faroe_islands,FRO,,,,48497,,,
Fiji,FJI,29.5126222,65.03769739,5.449680413,883483,50.69949858,49.30050142,3.46146795
Finland,FIN,16.14518297,62.13402948,21.72078755,5518050,49.27924151,50.72075849,9.49305799
Fragile and conflict affected situations,FCS,40.2373876,56.31176439,3.450848012,515215936,49.83812135,50.16187865,5.004693558
France,FRA,17.95646444,62.00891081,20.03462475,66987244,48.41575952,51.58424048,11.53929503
french_polynesia,PYF,22.76189413,68.94759777,8.290508105,277679,50.67543477,49.32456523,
Gabon,GAB,37.0258697,59.41022284,3.563907468,2119275,50.93137984,49.06862016,3.11291313
gambia,GMB,44.26874506,53.141274,2.589980939,2280102,49.5978671,50.4021329,4.43153755
Georgia,GEO,19.7952406,65.33926797,14.86549143,3731000,47.7087625,52.2912375,8.43609722
Germany,DEU,13.6210301,64.9170079,21.461962,82927922,49.33963263,50.66036737,11.13916763
Ghana,GHA,37.59606159,59.33504041,3.068898007,29767108,50.6741703,49.3258297,4.44871433
Gibraltar,GIB,,,,33718,,,
Greece,GRC,14.07124487,64.27348306,21.65527208,10727668,49.08379809,50.91620191,8.45429347
Greenland,GRL,,,,56025,,,
Grenada,GRD,23.56128986,66.81680334,9.621906796,111454,50.39255624,49.60744376,5.24666501
Guam,GUM,24.46370832,65.68638097,9.849910719,165768,50.5055197,49.4944803,
Guatemala,GTM,34.43539539,60.7525321,4.812072508,17247807,49.2406505,50.7593495,5.82031093
Guinea,GIN,43.85017334,53.22380421,2.926022448,12414318,48.1788893,51.8211107,5.47827339
Guinea-Bissau,GNB,42.33915221,54.83713146,2.823716336,1874309,48.83119281,51.16880719,6.09011769
Guyana,GUY,28.2145452,65.33518355,6.450271243,779004,50.19197517,49.80802483,4.24328719
Haiti,HTI,33.24224426,61.80835189,4.949403848,11123176,49.34779011,50.65220989,5.38571841
Heavily indebted poor countries (HIPC),HPC,42.85605987,54.11553089,3.028409238,780234406,49.86792237,50.13207763,5.407040275
High income,HIC,16.52346669,65.54448938,17.93204393,1210312147,49.78852346,50.21147654,12.5861705
Honduras,HND,31.74088153,63.56850081,4.690617659,9587522,49.95065983,50.04934017,8.40196647
"Hong Kong SAR, China",HKG,11.90089708,71.2240546,16.87504833,7451000,46.06755702,53.93244298,
Hungary,HUN,14.41199221,66.4302824,19.15772538,9768785,47.56757197,52.43242803,7.36479381
IBRD only,IBD,23.58122552,67.93499434,8.483780139,4772284113,50.66820838,49.33179162,5.54694268
Iceland,ISL,19.83232011,65.37258734,14.79509256,353574,50.18829148,49.81170852,8.29151473
IDA & IBRD total,IBT,27.48292174,65.29225752,7.224820741,6412522234,50.52293995,49.47706005,5.459137997
IDA blend,IDB,38.74393814,57.75720147,3.498860383,555830605,50.69461061,49.30538939,3.870976731
IDA only,IDX,38.90218812,57.51021929,3.587592591,1084407516,49.79438268,50.20561732,4.702685292
IDA total,IDA,38.84850353,57.59400532,3.557491151,1640238121,50.09977524,49.90022476,4.291301725
India,IND,27.05330185,66.7667425,6.179955649,1352617328,51.97646036,48.02353964,3.65833057
Indonesia,IDN,26.55119731,67.59163708,5.857165613,267663435,50.35611781,49.64388219,3.12449094
iran,IRN,24.47655866,69.33886753,6.184573806,81800269,50.56087024,49.43912976,8.10277065
Iraq,IRQ,38.3865654,58.28983494,3.323599663,38433600,50.59131847,49.40868153,3.31216318
Ireland,IRL,21.40641959,64.72777871,13.8658017,4853506,49.57449052,50.42550948,7.37830423
isle_of_man,IMN,,,,84077,,,
Israel,ISR,27.92524646,60.09776752,11.97698602,8883800,49.70187342,50.29812658,7.31441124
Italy,ITA,13.32911609,63.91920431,22.7516796,60431283,48.62333037,51.37666963,8.93549301
Jamaica,JAM,23.75009668,67.45326077,8.796642551,2934855,49.66017037,50.33982963,6.0723917
Japan,JPN,12.69684881,59.72678128,27.57636991,126529100,48.84074087,51.15925913,10.92612327
Jordan,JOR,34.24549021,61.90801939,3.846490398,9956011,50.61031646,49.38968354,5.46821058
Kazakhstan,KAZ,28.46054978,64.14760395,7.391846271,18276499,48.48851635,51.51148365,3.52614962
Kenya,KEN,39.78216693,57.87864645,2.339186612,51393010,49.68397961,50.31602039,4.54957525
Kiribati,KIR,35.53997946,60.50739337,3.952627172,115847,49.1514304,50.8485696,11.85986702
north_korea,PRK,20.2021135,70.46336609,9.33452041,25549819,48.90614752,51.09385248,
south_korea,KOR,12.97332358,72.60812059,14.41855583,51635256,50.08311821,49.91688179,7.33752488
Kosovo,XKX,,,,1845300,,,
Kuwait,KWT,21.53888805,75.91063957,2.550472384,4137309,60.45182938,39.54817062,3.903945
kyrgyzstan,KGZ,32.35041711,63.15485491,4.494727976,6315800,49.47513692,50.52486308,6.62528772
Lao PDR,LAO,32.60391868,63.32093135,4.075149964,7061507,50.21063519,49.78936481,2.36087478
Late-demographic dividend,LTE,19.01575361,70.2609934,10.72325299,2288665963,50.4938725,49.5061275,5.785490402
Latin America & Caribbean,LCN,24.55360128,67.00809265,8.438306072,641357515,49.19997685,50.80002315,8.558310043
Latin America & Caribbean (excluding high income),LAC,24.76490397,66.99239321,8.24270282,609013934,49.20741339,50.79258661,8.590668604
Latin America & the Caribbean (IDA & IBRD countries),TLA,24.75225772,66.99153305,8.256209237,625569713,49.20213802,50.79786198,8.495637507
Latvia,LVA,15.99577694,63.96060274,20.04362032,1926542,45.98983334,54.01016666,6.24292955
Least developed countries: UN classification,LDC,39.43336248,57.02638841,3.540249106,1009662578,49.72659138,50.27340862,4.317578677
Lebanon,LBN,26.09586717,66.9017647,7.002368134,6848925,50.29419448,49.70580552,8.01673185
Lesotho,LSO,32.71635154,62.38256097,4.901087497,2108132,49.28310457,50.71689543,8.0765782
Liberia,LBR,41.12498659,55.62158161,3.2534318,4818977,50.23170898,49.76829102,9.61511081
Libya,LBY,28.31923773,67.28872201,4.392040259,6678567,50.51621119,49.48378881,
Liechtenstein,LIE,,,,37910,,,
Lithuania,LTU,14.88242451,65.41254234,19.70503316,2789533,46.20804135,53.79195865,6.67158258
Low & middle income,LMY,27.55259348,65.29075529,7.156651231,6383958209,50.53425978,49.46574022,5.419452973
Low income,LIC,41.88910211,54.81972624,3.291171653,705417321,49.66049078,50.33950922,5.3777448
Lower middle income,LMC,30.17973519,64.29084934,5.529415473,3022905169,50.98928317,49.01071683,3.956672398
Luxembourg,LUX,15.87882399,69.93802183,14.18315418,607728,50.46074103,49.53925897,6.16378558
"Macao SAR, China",MAC,13.65406658,75.86173049,10.48420293,631636,48.02171514,51.97828486,
Madagascar,MDG,40.66815059,56.34513228,2.986717126,26262368,49.87603339,50.12396661,6.00363747
Malawi,MWI,43.90228591,53.45227916,2.64543493,18143315,49.29848431,50.70151569,9.83034233
Malaysia,MYS,23.99514109,69.33310429,6.671754625,31528585,51.42147942,48.57852058,3.80219497
Maldives,MDV,20.1479166,76.14873879,3.703344606,515696,62.73501854,37.26498146,10.61083995
Mali,MLI,47.54348639,49.94928385,2.507229758,19077690,50.05900327,49.94099673,3.81961944
Malta,MLT,14.27690052,65.37377518,20.3493243,483530,50.12669178,49.87330822,9.29531092
Marshall Islands,MHL,,,,58413,,,23.28730052
Mauritania,MRT,40.08318282,56.77570502,3.141112158,4403319,50.17734378,49.82265622,4.2410152
Mauritius,MUS,17.79369232,70.73213461,11.47417307,1265303,49.4228936,50.5771064,5.745666
Mexico,MEX,26.55684819,66.21946683,7.223684981,126190788,48.91071917,51.08928083,5.46900124
"Micronesia, Fed. Sts.",FSM,31.70720881,64.29598722,3.996803977,112640,50.84517045,49.15482955,12.56300745
Middle East & North Africa,MEA,29.88626216,64.93157649,5.182161356,448912859,51.79502636,48.20497364,5.583164355
Middle East & North Africa (excluding high income),MNA,31.11104431,63.51351932,5.375436375,382896715,50.40355072,49.59644928,6.120913035
Middle East & North Africa (IDA & IBRD countries),TMN,31.0164046,63.58108067,5.40251473,378327628,50.3997005,49.6002995,6.120913035
Middle income,MIC,25.77099449,66.59199085,7.637014665,5678540888,50.64284312,49.35715688,5.42001962
Moldova,MDA,15.86009086,72.6703528,11.46955634,3545883,47.96443688,52.03556312,8.98095464
Monaco,MCO,,,,38682,,,1.74986203
Mongolia,MNG,30.40956831,65.50689291,4.083538787,3170208,49.33045529,50.66954471,3.8090161
Montenegro,MNE,18.20951914,66.81554422,14.97493664,622345,49.44098706,50.55901294,7.64204428
Morocco,MAR,27.20638013,65.78071505,7.012904821,36029138,49.59615271,50.40384729,5.83767147
Mozambique,MOZ,44.67080015,52.43843539,2.890764457,29495962,48.5248089,51.4751911,5.0661965
Myanmar,MMR,26.37104828,67.84430978,5.784641933,53708395,48.19210313,51.80789687,5.08779798
Namibia,NAM,36.91024919,59.45371913,3.636031681,2448255,48.44630968,51.55369032,9.12250271
Nauru,NRU,,,,12704,,,11.10191475
Nepal,NPL,30.41426532,63.8580639,5.727670776,28087871,45.46465667,54.53534333,6.29441655
Netherlands,NLD,16.10815871,64.69564866,19.19619263,17231017,49.77905644,50.22094356,10.35932019
new_caledonia,NCL,22.74092567,68.08491641,9.174157925,284060,50.33894552,49.66105448,
new_zealand,NZL,19.65343146,64.69414402,15.65242453,4885500,49.1622306,50.8377694,9.22193561
Nicaragua,NIC,30.2016812,64.55082135,5.247497448,6465513,49.28729432,50.71270568,8.74635494
Niger,NER,49.98432461,47.42066751,2.595007883,22442948,50.2289974,49.7710026,6.22894111
Nigeria,NGA,43.86663998,53.38598302,2.747377005,195874740,50.66388645,49.33611355,3.64671499
North America,NAC,18.4202023,65.62722033,15.95257736,364290258,49.49305825,50.50694175,16.58004702
north_macedonia,MKD,16.51699963,69.81281899,13.67018138,2082958,50.03353406,49.96646594,6.34410858
Northern Mariana Islands,MNP,,,,56882,,,
Norway,NOR,17.54903838,65.40173947,17.04922216,5314336,50.47536887,49.52463113,10.50063009
Not classified,INX,,,,,,,
OECD members,OED,17.82692642,65.05445517,17.11861841,1303529456,49.18859657,50.81140343,12.5863211
Oman,OMN,22.24650599,75.36070706,2.392786956,4829483,65.98591648,34.01408352,4.29254957
Other small states,OSS,29.93923473,64.56829948,5.492465783,30758989,53.14945532,46.85054468,4.830675596
Pacific island small states,PSS,35.03655477,60.42612785,4.537317377,2457367,50.7290708,49.2709292,5.270473623
Pakistan,PAK,35.2698146,60.41741109,4.312774311,212215030,51.46192528,48.53807472,2.75283024
Palau,PLW,,,,17907,,,11.68764783
Panama,PAN,27.06230432,64.8329646,8.10473108,4176873,50.09461635,49.90538365,7.26068297
papua_new_guinea,PNG,35.8159344,60.73879635,3.445269251,8606316,51.03727213,48.96272787,1.97579249
Paraguay,PRY,29.4405056,64.12927939,6.430215009,6956071,50.84838865,49.15161135,8.02487617
Peru,PER,25.79060285,66.12100436,8.088392792,31989256,49.66224451,50.33775549,5.14391365
Philippines,PHL,30.9630402,63.91439103,5.122568768,106651922,50.25834261,49.74165739,4.38594904
Poland,POL,15.05227681,67.42990642,17.51781676,37978548,48.46929262,51.53070738,6.51647873
Portugal,PRT,13.45790782,64.58823464,21.95385754,10281762,47.28803829,52.71196171,9.07636096
Post-demographic dividend,PST,16.09123862,64.95424441,18.95451697,1109997273,49.09084408,50.90915592,13.00221949
Pre-demographic dividend,PRE,43.7518511,53.49433526,2.753813638,919485393,50.0255473,49.9744527,4.237286451
Puerto Rico,PRI,16.83608611,64.48906368,18.67485021,3195153,47.54990627,52.45009373,
Qatar,QAT,13.54076419,85.08916548,1.370070339,2781677,75.50471262,24.49528738,3.07944355
Romania,ROU,15.53455496,66.12674365,18.33870139,19473936,48.65625694,51.34374306,4.98040299
russia,RUS,17.91408058,67.4112111,14.67470832,144478050,46.33823764,53.66176236,5.27112755
Rwanda,RWA,39.97557302,57.0862309,2.938196078,12301939,49.13893865,50.86106135,6.76069372
Samoa,WSM,38.32069709,56.87889093,4.800411974,196130,51.74375918,48.25624082,5.53209386
san_marino,SMR,,,,33785,,,6.39562063
Sao Tome and Principe,STP,42.51994996,54.55437193,2.925678109,211028,50.03648736,49.96351264,5.99199802
saudi_arabia,SAU,25.04284813,71.64306385,3.314088023,33699947,57.55415202,42.44584798,5.74181331
Senegal,SEN,43.05543037,53.85774593,3.086823701,15854360,48.72267023,51.27732977,5.51241197
Serbia,SRB,15.68968075,65.96452656,18.34579269,6982084,48.99747704,51.00252296,9.13502874
Seychelles,SYC,23.63537118,68.77008322,7.594545604,96762,51.34508826,48.65491174,3.93610353
Sierra Leone,SLE,41.05963935,55.97380444,2.966556211,7650154,49.87872785,50.12127215,16.53171514
Singapore,SGP,12.27828264,76.25833717,11.46338019,5638676,52.34187459,47.65812541,4.46958366
Sint Maarten (Dutch part),SXM,,,,40654,,,
slovakia,SVK,15.44613676,68.92461673,15.6292465,5447011,48.66166748,51.33833252,7.12513052
Slovenia,SVN,15.02177505,65.3713453,19.60687965,2067372,49.75479297,50.24520703,8.46829514
Small states,SST,29.11989708,64.85053347,6.029569449,40575321,52.37365951,47.62634049,5.038519339
Solomon Islands,SLB,40.2415843,56.15946524,3.598950459,652858,50.84536253,49.15463747,5.17074913
Somalia,SOM,46.57658407,50.55010499,2.873310943,15008154,49.86664979,50.13335021,
south_africa,ZAF,29.07948915,65.60250585,5.318005005,57779622,49.30584962,50.69415038,8.1098146
South Asia,SAS,28.4163476,65.74309191,5.840560482,1814388744,51.63803308,48.36196692,3.553253755
South Asia (IDA & IBRD),TSA,28.4163476,65.74309191,5.840560482,1814388744,51.63803308,48.36196692,3.553253755
South Sudan,SSD,41.82012143,54.78139569,3.39848288,10975920,50.04369564,49.95630436,
Spain,ESP,14.66700111,65.95449137,19.37850752,46723749,49.10335869,50.89664131,8.97038932
sri_lanka,LKA,24.19700102,65.32977922,10.47321975,21670000,48.03318234,51.96681766,3.89324108
St. Kitts and Nevis,KNA,,,,52441,,,5.67183165
saint_lucia,LCA,18.528883,71.66458664,9.806530356,181889,49.24954643,50.75045357,5.30656361
St. Martin (French part),MAF,,,,37264,,,
saint_vincent_and_the_grenadines,VCT,22.54130713,67.86890601,9.589786863,110210,50.79121677,49.20878323,3.56292208
Sub-Saharan Africa,SSF,42.53841232,54.47388208,2.987705607,1078306520,49.88683248,50.11316752,5.155991777
Sub-Saharan Africa (excluding high income),SSA,42.54010873,54.47259909,2.987292174,1078209758,49.88670161,50.11329839,5.157123142
Sub-Saharan Africa (IDA & IBRD countries),TSS,42.53841232,54.47388208,2.987705607,1078306520,49.88683248,50.11316752,5.155991777
Sudan,SDN,40.50879187,55.91004761,3.581160528,41801533,49.95258547,50.04741453,5.6648529
Suriname,SUR,27.17026337,65.92336673,6.906369902,575991,50.28290569,49.71709431,6.06415279
Sweden,SWE,17.58178546,62.32268961,20.09552493,10183175,50.05422383,49.94577617,10.93479344
Switzerland,CHE,14.91095477,66.46582867,18.62321656,8516543,49.57287534,50.42712466,12.24760438
syria,SYR,31.42154081,64.07533477,4.503124421,16906283,50.18578864,49.81421136,
Tajikistan,TJK,36.78428408,60.19382837,3.021887552,9100837,50.41616456,49.58383544,6.99849461
united_republic_of_tanzania,TZA,44.09823815,53.30046267,2.601299178,56318348,49.94898909,50.05101091,4.13992059
Thailand,THA,17.08698882,71.01211804,11.90089314,69428524,48.73129539,51.26870461,3.71143463
timor_leste,TLS,37.78066427,57.90284343,4.316492294,1267972,50.54153276,49.45846724,4.02059179
Togo,TGO,41.3345235,55.79600849,2.869468011,7889094,49.73195278,50.26804722,6.61568574
Tonga,TON,35.41575821,58.63058035,5.953661444,103197,50.01308152,49.98691848,5.26385403
trinidad_and_tobago,TTO,20.41957257,68.84547391,10.73495352,1389858,49.40867337,50.59132663,6.5104014
Tunisia,TUN,24.17012035,67.51420057,8.315679079,11565204,49.56284814,50.43715186,6.95195517
Turkey,TUR,24.64941014,66.86737692,8.48321294,82319724,49.3221868,50.6778132,4.3143198
Turkmenistan,TKM,30.82236394,64.7510016,4.426634462,5850908,49.2392626,50.7607374,6.61802128
Turks and Caicos Islands,TCA,,,,37665,,,
Tuvalu,TUV,,,,11508,,,15.45402053
Uganda,UGA,46.93052518,51.1284879,1.94098692,42723139,49.2239211,50.7760789,6.16503174
Ukraine,UKR,15.81241317,67.75290039,16.43468644,44622516,46.3122493,53.6877507,6.72703787
united_arab_emirates,ARE,14.60350937,84.31148965,1.085000985,9630959,69.36331205,30.63668795,3.51684955
united_kingdom,GBR,17.67808207,63.92605226,18.39586567,66488991,49.36472544,50.63527456,9.7623484
united_states_of_america,USA,18.70903998,65.48330596,15.80765406,327167434,49.47998535,50.52001465,17.07341533
Upper middle income,UMC,20.74864674,69.21340446,10.0379488,2655635719,50.24818566,49.75181434,5.854028787
Uruguay,URY,20.60798107,64.57749939,14.81451953,3449299,48.27845731,51.72154269,9.06075776
Uzbekistan,UZB,28.68605741,66.89480471,4.419137878,32955400,49.86264108,50.13735892,6.33520937
Vanuatu,VUT,38.84823015,57.51161678,3.640153068,292680,50.71119843,49.28880157,3.69175091
venezuela,VEN,27.66665058,65.0663628,7.26698662,28870195,49.3667402,50.6332598,3.21708435
Vietnam,VNM,23.17267683,69.55234487,7.274978298,95540395,49.90359038,50.09640962,5.65919354
Virgin Islands (U.S.),VIR,19.7134123,60.99828047,19.28830722,106977,47.56286304,52.43713696,
West Bank and Gaza,PSE,38.94736128,57.91933298,3.133305737,4569087,50.72235573,49.27764427,
World,WLD,25.79537624,65.33118151,8.873442244,7594270356,50.41544523,49.58455477,10.02127141
"Yemen, Rep.",YEM,39.61489027,57.50883997,2.876269756,28498687,50.38834251,49.61165749,
Zambia,ZMB,44.93614116,52.96418082,2.099678026,17351822,49.50679224,50.49320776,4.47720737
Zimbabwe,ZWE,42.40106624,54.65941011,2.939523653,14439018,47.64324793,52.35675207,9.41366844
